Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,,438.500000,,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
1,,145.100000,,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
2,BR1KA,145.300000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,CRAC C4FM,,,
3,BR1KA,439.500000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,CRAC C4FM,,,
4,BR1BJ,439.750000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,BRC C4FM,,,
5,BR1BJ,438.450000,-,5.500000,Tone,88.5,88.5,023,NN,FM,5.00,,Beijing FM,,,
6,BR4MT,439.850000,-,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,Mt.Tai,,,
7,BR6JA,439.400000,split,432.400000,Tone,118.8,118.8,023,NN,FM,5.00,,Zhengzhou Radio Association,,,
8,BR6KH,439.325000,split,431.325000,Tone,100.0,100.0,023,NN,FM,5.00,,Jiaozuo Henan,,,
8,Qinhuangdao,439.765000,split,431.765000,Tone,79.7,79.7,023,NN,FM,5.00,,HAAT 800m,,,
