Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,,3.850000,,0.000000,,88.5,88.5,023,NN,LSB,1.00,,,,,
2,,7.023000,,0.000000,,88.5,88.5,023,NN,CW,1.00,,,,,
3,,7.050000,,0.000000,,88.5,88.5,023,NN,LSB,1.00,,,,,
4,,14.050000,,0.000000,,88.5,88.5,023,NN,CW,1.00,,,,,
5,,14.180000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,
6,,14.195000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,
7,,14.270000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,
8,,14.330000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,
9,,21.080000,,0.000000,,88.5,88.5,023,NN,CW,1.00,,,,,
10,,21.400000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,
11,,28.080000,,0.000000,,88.5,88.5,023,NN,CW,1.00,,,,,
12,,28.400000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,
13,,29.600000,,0.000000,,88.5,88.5,023,NN,NFM,10.00,,,,,
13,,51.550000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,
