Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,,409.750000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,PRS01,409.750000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
2,PRS02,409.762500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
3,PRS03,409.775000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
4,PRS04,409.787500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
5,PRS05,409.800000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
6,PRS06,409.812500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
7,PRS07,409.825000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
8,PRS08,409.837500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
9,PRS09,409.850000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
10,PRS10,409.862500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
11,PRS11,409.875000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
12,PRS12,409.887500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
13,PRS13,409.900000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
14,PRS14,409.912500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
15,PRS15,409.925000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
16,PRS16,409.937500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
17,PRS17,409.950000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
18,PRS18,409.962500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
19,PRS19,409.975000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
20,PRS20,409.987500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
