Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,
1,VHF-1,56.25,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
2,VHF-2,64.25,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
3,VHF-3,72.25,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
4,VHF-4,83.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
5,VHF-5,91.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
6,VHF-6,174.25,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
7,VHF-7,182.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
8,VHF-8,190.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
9,VHF-9,198.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
10,VHF-10,206.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
11,VHF-11,214.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
12,VHF-12,222.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
13,UHF-13,477.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
14,UHF-14,485.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
15,UHF-15,493.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
16,UHF-16,501.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
17,UHF-17,509.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
18,UHF-18,517.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
19,UHF-19,525.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
20,UHF-20,533.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
21,UHF-21,541.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
22,UHF-22,549.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
23,UHF-23,557.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
24,UHF-24,565.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
25,UHF-25,611.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
26,UHF-26,619.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
27,UHF-27,627.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
28,UHF-28,635.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
29,UHF-29,643.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
30,UHF-30,651.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
31,UHF-31,659.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
32,UHF-32,667.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
33,UHF-33,675.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
34,UHF-34,683.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
35,UHF-35,691.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
36,UHF-36,699.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
37,UHF-37,707.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
38,UHF-38,715.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
39,UHF-39,723.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
40,UHF-40,731.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
41,UHF-41,739.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
42,UHF-42,747.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
43,UHF-43,755.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
44,UHF-44,763.75,,0.6,,88.5,88.5,23,NN,WFM,8000,,,,,,
